Topic,Imported records
Core Japanese,858
Talk about hobbies,171
Order food,163
Describe people,148
Tell time,145
Describe your home,64
Talk about countries,60
Ask for directions,56
Introduce yourself,55
Talk about weather,48
Count animals,47
Discuss classes,39
Describe your family,36
Shop for clothes,36
Talk about jobs,31
Describe nature,27
Share travel experiences,24
Describe health issues,20
Take public transit,20
Express how you feel,18
Shop for electronics,14
Talk about gifts,14
Get around a station,14
Get emergency help,13
Discuss media,12
Discuss outdoor activities,7
Communicate at a hotel,3
