Word,Meaning,Sentence meaning,Current topic
あきはばら,Akihabara,I bought electronics in Akihabara.,abstract-society
いたく,sore,My throat became sore.,abstract-society
うまみ,savoriness,This soup has savoriness.,abstract-society
おぼえ,"remember, memorize, memorized",I remember this word.,abstract-society
かわいく,cute,I decorated it cutely.,abstract-society
がり,pickled ginger,Pickled ginger is served with sushi.,abstract-society
すんで,live,I live in Tokyo.,abstract-society
せなか,back,My back is itchy.,abstract-society
てんぷら,tempura,I ate shrimp tempura.,abstract-society
にんじゃ,"ninjas, ninja",Ninjas are quick.,abstract-society
はい,yes,"Yes, I understood.",abstract-society
びっくり,surprise,I was surprised.,abstract-society
もちろん,of course,"Of course, it's okay.",abstract-society
エネルギー,energy,More energy is needed.,abstract-society
キロ,"kilograms, kilometer, kilogram, kilometers",I walked 5 kilometers.,abstract-society
ケーキ,"cake, cakes",I made a birthday cake.,abstract-society
ストレス,stress,Stress is accumulating.,abstract-society
スープ,"soup, soups",I drank hot soup.,abstract-society
ビザ,visa,I applied for a visa.,abstract-society
プラスチック,plastic,This is made of plastic.,abstract-society
ベジタリアン,vegetarian,I am a vegetarian.,abstract-society
マリア,Maria,Maria is kind.,abstract-society
リサイクル,"recycle, recycling",Let's recycle trash.,abstract-society
不思議,"mysterious, curious, wonderful, strange","It's a mysterious story, isn't it?",abstract-society
住んで,"live, lived",I live in Tokyo.,abstract-society
便利,convenient,This app is very convenient.,abstract-society
俺,"me (male), I (male)",I (male) am okay. (Informal),abstract-society
再び,"again, once more",I met him again.,abstract-society
出来事,"affair, incident, event, occurrence",A mysterious event occurred.,abstract-society
判断,"judgement, decision, decisions",His judgement was correct.,abstract-society
別,separate,This is a separate problem.,abstract-society
千葉,Chiba,I live in Chiba prefecture.,abstract-society
台風,"typhoons, typhoon",A typhoon is approaching.,abstract-society
喉,throat,My throat is sore.,abstract-society
地域,"neighborhood, district, area, region, community, regions, part",This area is quiet.,abstract-society
城,"castles, castle",Osaka Castle is famous.,abstract-society
大阪,Osaka,Osaka is a lively city.,abstract-society
大陸,"continents, continent",Asia is a large continent.,abstract-society
子犬,"puppies, puppy","It's a cute puppy, isn't it?",abstract-society
必要,"need, necessary, necessity",This is a necessary thing.,abstract-society
急,steep/sudden,It's a steep slope.,abstract-society
成功,"successes, success",His project was a success.,abstract-society
手首,wrist,My wrist hurts.,abstract-society
指,"fingers, finger",I injured my finger.,abstract-society
有料,"charging a fee, not free, paid",This parking lot is paid.,abstract-society
標識,"sign, signs",Let's obey traffic signs.,abstract-society
気体,"gas, gases",Air is a gas.,abstract-society
汚染,"pollution, contamination",Air pollution is a serious problem.,abstract-society
泥棒,thief,A thief broke in.,abstract-society
温暖,temperate,This region has a temperate climate.,abstract-society
災害,disasters,Let's prepare for natural disasters.,abstract-society
無事,safely,I arrived safely.,abstract-society
無料,free,This event is free.,abstract-society
生まれ,born,I was born in Tokyo.,abstract-society
県,"prefectures, prefecture",I live in Chiba prefecture.,abstract-society
秘密,"secrets, secret",This is a secret.,abstract-society
視線,"glances, glance, gaze, gazes",I felt his gaze.,abstract-society
金属,"metal, metals",This spoon is made of metal.,abstract-society
銀,silver,I bought a silver necklace.,abstract-society
銅,"copper, bronze",This statue is made of copper.,abstract-society
電子,electronic,Electronic dictionaries are convenient.,abstract-society
静か,quiet,This library is quiet.,abstract-society
首,"fired, sacked/ necks, neck",My neck hurts.,abstract-society
