Region,Topic,Imported records
foundations,Greetings & Politeness,122
foundations,Introductions & People,936
foundations,Family & Relationships,22
foundations,Numbers in Use,45
foundations,Core Actions,130
foundations,Core Descriptions,33
my-world,Home & Objects,48
my-world,Daily Routine,59
my-world,School & Learning,80
my-world,Work & Office,27
my-world,Hobbies & Media,47
my-world,Clothes & Appearance,60
food-shopping,Food & Drink,96
food-shopping,Restaurants & Ordering,9
food-shopping,Shopping & Prices,27
food-shopping,Groceries & Household,3
getting-around,Directions & Places,34
getting-around,Transport & Stations,21
getting-around,Travel & Hotels,11
getting-around,Countries & Languages,40
everyday-life,"Time, Dates & Plans",47
everyday-life,Weather & Seasons,21
everyday-life,Health & Body,39
everyday-life,Nature & Animals,26
everyday-life,Feelings & Opinions,24
communication,Questions & Conversation,28
communication,Grammar & Connectors,45
communication,Ideas & Society,63
