card,word,reading,confidence,source_sheet,panel,rationale
1,大きい,おおきい,high,a_bright_colorful_high_quality_3d_illustration_c.png,1,giant key makes the scale unmistakably big
2,小さい,ちいさい,high,a_bright_colorful_high_quality_3d_illustration_c.png,2,tiny piece of cheese under a magnifying glass
3,新しい,あたらしい,high,a_bright_colorful_high_quality_3d_illustration_c.png,3,newly opened glowing treasure chest
4,古い,ふるい,high,a_bright_colorful_high_quality_3d_illustration_c.png,4,very old clock held by an elderly guide
5,長い,ながい,high,a_bright_colorful_high_quality_3d_illustration_c.png,5,extremely long ribbon
6,短い,みじかい,high,a_wide_image_showing_a_2x3_grid_of_illustrated_sto.png,1,short measured object/distance
7,高い,たかい,high,a_wide_image_showing_a_2x3_grid_of_illustrated_sto.png,3,towering high-rise beside a small house
11,早い,はやい,high,a_wide_image_showing_a_2x3_grid_of_illustrated_sto.png,2,children sprinting at speed
17,強い,つよい,high,a_highly_detailed_3x2_illustrated_poster_scene_gri.png,5,powerful pulling action
18,弱い,よわい,high,a_highly_detailed_3x2_illustrated_poster_scene_gri.png,6,unable to move a heavy boulder
21,星,ほし,medium,a_clean_high_resolution_composite_illustration_in.png,6,gift box covered with prominent stars
24,寒い,さむい,high,a_high_detail_illustration_collage_storyboard_st.png,4,children visibly freezing in snow
25,暑い,あつい,high,a_high_detail_illustration_collage_storyboard_st.png,5,children visibly overheating in the sun
26,夜,よる,high,a_single_image_is_a_2x3_grid_collage_of_six_vibr.png,5,clear night scene beneath moon and stars
27,走る,はしる,high,a_wide_image_showing_a_2x3_grid_of_illustrated_sto.png,2,running race
28,亀,かめ,high,a_single_image_is_a_2x3_grid_collage_of_six_vibr.png,4,large sea turtle
29,山,やま,high,a_wide_image_showing_a_2x3_grid_of_illustrated_sto.png,4,mountain landscape
30,川,かわ,high,a_single_image_is_a_2x3_grid_collage_of_six_vibr.png,6,river and waterfall landscape
34,城,しろ,medium,a_single_image_is_a_2x3_grid_collage_of_six_vibr.png,2,large white crane dominates the scene
37,考える,かんがえる,medium,a_high_detail_colorful_illustration_sheet_story.png,3,careful investigation and thought around a fossil
38,書く,かく,high,a_high_detail_illustration_collage_storyboard_st.png,3,children writing in open notebooks
42,作る,つくる,high,a_clean_high_resolution_composite_illustration_in.png,4,children making food from ingredients
43,力,ちから,high,a_clean_high_resolution_composite_illustration_in.png,2,visible physical force pushing a huge rock
45,歩く,あるく,medium,a_high_detail_illustration_collage_storyboard_st.png,2,person walking out through the doorway
46,手,て,medium,a_clean_high_resolution_composite_illustration_in.png,3,hands gripping and pulling a rope
47,元気,げんき,high,a_composite_2x3_grid_cartoon_3d_rendered_illustra.png,5,energetic children jumping joyfully
48,あげる,あげる,high,a_composite_2x3_grid_cartoon_3d_rendered_illustra.png,1,one child giving an apple to another
49,花,はな,high,a_single_composite_image_poster_with_a_clean_bor.png,4,large bouquet of flowers
50,道,みち,high,a_wide_image_showing_a_2x3_grid_of_illustrated_sto.png,4,"a long, unmistakable route/path"
