batch,panel,card,word,reading,scene,source
1,1,7,高い,たかい,gold-07-takai.webp,a_bright_colorful_multi_panel_illustration_collag.png
1,2,8,安い,やすい,gold-08-yasui.webp,a_bright_colorful_multi_panel_illustration_collag.png
1,3,9,難しい,むずかしい,gold-09-muzukashii.webp,a_bright_colorful_multi_panel_illustration_collag.png
1,4,10,簡単,かんたん,gold-10-kantan.webp,a_bright_colorful_multi_panel_illustration_collag.png
1,5,12,遅い,おそい,gold-12-osoi.webp,a_bright_colorful_multi_panel_illustration_collag.png
1,6,13,多い,おおい,gold-13-ooi.webp,a_bright_colorful_multi_panel_illustration_collag.png
2,1,14,少ない,すくない,gold-14-sukunai.webp,a_wide_6_panel_illustrated_vocabulary_flashcard_st.png
2,2,15,良い,よい,gold-15-yoi.webp,a_wide_6_panel_illustrated_vocabulary_flashcard_st.png
2,3,16,悪い,わるい,gold-16-warui.webp,a_wide_6_panel_illustrated_vocabulary_flashcard_st.png
2,4,18,弱い,よわい,gold-18-yowai.webp,a_wide_6_panel_illustrated_vocabulary_flashcard_st.png
2,5,20,遠い,とおい,gold-20-tooi.webp,a_wide_6_panel_illustrated_vocabulary_flashcard_st.png
2,6,19,近い,ちかい,gold-19-chikai.webp,a_wide_6_panel_illustrated_vocabulary_flashcard_st.png
3,1,21,星,ほし,gold-21-hoshi.webp,a_clean_colorful_comic_illustration_style_6_panel.png
3,2,22,怒る,おこる,gold-22-okoru.webp,a_clean_colorful_comic_illustration_style_6_panel.png
3,3,23,辛い,からい,gold-23-karai.webp,a_clean_colorful_comic_illustration_style_6_panel.png
3,4,24,寒い,さむい,gold-24-samui.webp,a_clean_colorful_comic_illustration_style_6_panel.png
3,5,29,山,やま,gold-29-yama.webp,a_clean_colorful_comic_illustration_style_6_panel.png
3,6,30,川,かわ,gold-30-kawa.webp,a_clean_colorful_comic_illustration_style_6_panel.png
4,1,31,ここ,ここ,gold-31-koko.webp,a_clean_multi_panel_educational_illustration_colla.png
4,2,32,あそこ,あそこ,gold-32-asoko.webp,a_clean_multi_panel_educational_illustration_colla.png
4,3,33,鶏,にわとり,gold-33-niwatori.webp,a_clean_multi_panel_educational_illustration_colla.png
4,4,34,城,しろ,gold-34-shiro.webp,a_clean_multi_panel_educational_illustration_colla.png
4,5,35,象,ぞう,gold-35-zou.webp,a_clean_multi_panel_educational_illustration_colla.png
4,6,36,鼠,ねずみ,gold-36-nezumi.webp,a_clean_multi_panel_educational_illustration_colla.png
5,1,38,書く,かく,gold-38-kaku.webp,a_bright_colorful_illustrated_infographic_style_i.png
5,2,39,分かる,わかる,gold-39-wakaru.webp,a_bright_colorful_illustrated_infographic_style_i.png
5,3,40,知らない,しらない,gold-40-shiranai.webp,a_bright_colorful_illustrated_infographic_style_i.png
5,4,41,甘い,あまい,gold-41-amai.webp,a_bright_colorful_illustrated_infographic_style_i.png
5,5,42,作る,つくる,gold-42-tsukuru.webp,a_bright_colorful_illustrated_infographic_style_i.png
5,6,43,力,ちから,gold-43-chikara.webp,a_bright_colorful_illustrated_infographic_style_i.png
6,1,44,疲れる,つかれる,gold-44-tsukareru.webp,a_wide_colorful_2x3_comic_illustration_chart_with.png
6,2,45,歩く,あるく,gold-45-aruku.webp,a_wide_colorful_2x3_comic_illustration_chart_with.png
6,3,46,手,て,gold-46-te.webp,a_wide_colorful_2x3_comic_illustration_chart_with.png
6,4,47,元気,げんき,gold-47-genki.webp,a_wide_colorful_2x3_comic_illustration_chart_with.png
6,5,48,あげる,あげる,gold-48-ageru.webp,a_wide_colorful_2x3_comic_illustration_chart_with.png
6,6,50,道,みち,gold-50-michi.webp,a_wide_colorful_2x3_comic_illustration_chart_with.png
